Vendor,Handle,Title,Option1 Name,Option1 Value,Image Position,Image Src
,2x2-5-ggt-lite,,,,12,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Front_Windows_grande_e66dba36-b099-4a29-bfe6-8fc6501ac299.png?v=1596455499
,2x2-5-ggt-lite,,,,13,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_HOLES_small_d32ea99c-bd2c-4931-a7c6-ac35ec570d6d.png?v=1596455499
,2x2-5-ggt-lite,,,,14,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Front_Open_grande_2408d117-647c-49cb-88a8-b2819ab30065.png?v=1596455499
,2x2-5-ggt-lite,,,,15,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Front_grande_d1985f37-521e-4f99-91c0-973cf90d07a6.png?v=1596455499
,2x2-5-ggt-lite,,,,16,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Angle_Open_grande_e8dc6ebc-3bc0-4c29-9435-7e11c2f2a09c.png?v=1596455499
,2x2-5-ggt-lite,,,,17,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Angle_Half_Open_grande_cca710a8-944d-4b75-937f-612f86e6110a.png?v=1596455499
,2x2-5-ggt-lite,,,,18,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Angle_grande_1.png?v=1596455499
,2x2-5-ggt-lite,,,,19,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_Angle_grande_e0e2a743-79db-47a0-af4f-04876589dd83.png?v=1596455499
,2x2-5-ggt-lite,,,,20,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Tent_Detail_cd67e42f-b543-47b6-b872-cfc3b41fe7bb_grande_1.png?v=1596455499
,2x2-5-ggt-lite,,,,21,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Zipper_2_grande_0997ad66-2caf-48fa-af0a-9bce728d5249.png?v=1596455499
Gorilla Grow,2x2-5-ggt-shorty,Gorilla Grow - GORILLA GROW TENT - 2' x 2.5' - SHORTY,Model Name,SHGGT22,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/225SH2_grande_5d807dac-30cf-4fdf-aab6-a5b9ff5021f4.png?v=1596468983
,2x2-5-ggt-shorty,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/225SH8_grande_82a13cfa-c430-40d3-957c-0ca4b685b67f.png?v=1596468984
,2x2-5-ggt-shorty,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/225SH9_grande_0f72d89d-67fb-4685-9600-17b3b6bc6549.png?v=1596468984
,2x2-5-ggt-shorty,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/225SH10_grande_f7c34bf7-ae29-4674-b902-79b5a498ed1d.png?v=1596468984
,2x2-5-ggt-shorty,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/225SH11_grande_8a1b6f54-deb7-41ce-9eb5-862ad0eaa1ff.png?v=1596468984
,2x2-5-ggt-shorty,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH5_grande_e639f092-10f6-486d-a974-1c37fd2d6f51.png?v=1596468984
,2x2-5-ggt-shorty,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH6_grande_8f5b486b-d26e-460e-a4e0-44d1dbcb1615.png?v=1596468984
,2x2-5-ggt-shorty,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/225SH1_grande_07f3ac8c-0ae8-456a-bb40-2915e84587cd.png?v=1596468984
Gorilla Grow,2x2-5-gorilla-grow-tent,Gorilla Grow - GORILLA GROW TENT - 2' x 2.5' - OG,Model Name,GGT22,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Joint_1_grande_c66a1b18-2db2-4881-983d-babba278cf3d.png?v=1596201419
,2x2-5-gorilla-grow-tent,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Ports_grande_095f156a-78a8-4c3b-94fd-3f4c25c040ab.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x25_HOLES_grande_a7a5e1ad-0919-4dd2-a1f6-f94e0c474fe5.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x2_Ports_Joints_grande_1be3a20d-7c2d-4880-8d3c-1b9bb9ab4f27.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x2_QuarterView_Closed_NOTOp_grande_1.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x2_360_Access_1_grande_af88f72e-2af9-4157-901a-ae5fa0025cc2.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Vent_Detail_grande_764f3ea2-c675-4c38-870a-64fc0d21a605.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Tool_Pouch_grande_d97bca7e-ea5f-428d-91ea-3442eb4f65f5.png?v=1596201421
,2x2-5-gorilla-grow-tent,,,,9,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Rear_Access_Door_grande_c94a7f62-2ea2-4459-945e-02578f345ed9.png?v=1596201421
Gorilla Grow,2x2-5-lite-ext-kit,Gorilla Grow - GORILLA GROW TENT - 2'x2.5' LITE EXTENSION KIT,Model Name,1' Extension Lite Line,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/EXTENSION_KIT_1FT_grande_f02f28f5-a4af-4aaa-9727-b2ec83e5d6de.png?v=1597323238
Gorilla Grow,2x2-5ext,Gorilla Grow - GORILLA GROW TENT - 2x2.5 OG EXTENSION KIT,Model Name,2' Extension,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/EXTENSION_KIT_2FT_grande_9ff9091e-cd66-47b0-a004-6f52910039e7.png?v=1596451017
Gorilla Grow,2x4-ggt-lite,Gorilla Grow - GORILLA GROW TENT - 2' x 4' - LITE LINE,Model Name,LTGGT24,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Angle_grande_c63b5e77-c2a7-4e57-833f-e1f2bcc8eebd.png?v=1596465888
,2x4-ggt-lite,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Angle_Half_Open_grande_653a7a95-3571-4a7d-a541-c9ec5a6704dd.png?v=1596465889
,2x4-ggt-lite,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Angle_Open_grande_3193e233-e97b-4da3-9cc5-9a493ed3ec03.png?v=1596465889
,2x4-ggt-lite,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Ext_Angle_grande_366e107b-269a-4400-b5a6-9246170ff944.png?v=1596465890
,2x4-ggt-lite,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Ext_Angle_Half_Open_grande_80f39f4c-4101-4842-816d-968f93ffb38f.png?v=1596465892
,2x4-ggt-lite,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Ext_Front_grande_154a4168-e30e-43cb-97cf-24b24a848e53.png?v=1596465892
,2x4-ggt-lite,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Ext_Front_Open_grande_5f242d53-4960-4a86-ba6d-c10b66ce7c7b.png?v=1596465892
,2x4-ggt-lite,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Ext_Front_Windows_grande_b8c51c02-0e32-41b0-9afd-47200128250b.png?v=1596465893
,2x4-ggt-lite,,,,9,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Front_grande_30659bc2-96aa-4e90-ac36-f063c6b00044.png?v=1596465893
,2x4-ggt-lite,,,,10,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Front_Open_grande_4d4ccb3f-e6c6-4b41-b2ae-5c86adb0fae7.png?v=1596465893
,2x4-ggt-lite,,,,11,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Front_Windows_grande_080b1ac7-21d6-40ef-abc4-c727f448ae18.png?v=1596465893
,2x4-ggt-lite,,,,12,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Lite_Side_grande_ce54c432-1d06-4941-a0b2-c4db6fb0729a.png?v=1596465893
,2x4-ggt-lite,,,,13,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Large_Port_Closed_2_grande_52108a2b-69f8-4174-a598-8a4a61ca8a87.png?v=1596465893
,2x4-ggt-lite,,,,14,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Pole_Detail_3_small_11e4d4a5-4f28-46ba-83f9-b493d227f44e.png?v=1596465893
,2x4-ggt-lite,,,,15,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Tent_Detail_1_small_62208dc1-08f8-4955-a870-88dba377fb5e.png?v=1596465893
,2x4-ggt-lite,,,,16,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Tool_Pouch_1_grande_a984998c-d975-4ec5-aa6d-47ec0d3b56ee.png?v=1596465893
,2x4-ggt-lite,,,,17,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Vent_Open_Angle_grande_34066639-792a-48ae-a1af-e35607bb1bcd.png?v=1596465893
,2x4-ggt-lite,,,,18,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Lite_Line_Zipper_2_grande_d7ba43f5-35d1-4667-86df-844be27f73b4.png?v=1596465893
,2x4-ggt-lite,,,,19,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_HOLES_grande_1b1c4b01-7ab7-4130-83fc-e4d071899969.png?v=1596465893
Gorilla Grow,2x4-ggt-shorty,Gorilla Grow - GORILLA GROW TENT - 2' x 4' - SHORTY,Model Name,SHGGT24,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2X4_SHORTY_EX_grande_9d15ef62-a73f-4d19-bbba-2f7eedd15a8f.png?v=1596469315
,2x4-ggt-shorty,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH2_grande_87b80e47-05d8-4894-8a08-070615e4e2a8.png?v=1596469315
,2x4-ggt-shorty,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH5_grande_dc9dda53-c178-4e86-9947-701a74ed1a6e.png?v=1596469315
,2x4-ggt-shorty,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH6_grande_259eb252-24e4-4c2e-9c3c-b4449026958b.png?v=1596469315
,2x4-ggt-shorty,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH7_grande_a3ceedf5-faaf-406f-94e6-bea7f8b98154.png?v=1596469315
,2x4-ggt-shorty,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH8_grande_d8f53e8e-22bb-4cc0-a337-ad8647f955c4.png?v=1596469315
,2x4-ggt-shorty,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH9_grande_13a43243-7ae9-4118-aef9-5a3b6e025b3b.png?v=1596469315
,2x4-ggt-shorty,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH10_grande_10b127c8-5b3c-4023-a389-56f33bf8b987.png?v=1596469315
,2x4-ggt-shorty,,,,9,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/24SH11_grande_aba26205-d3c3-4b4d-8749-fd0a66a4dfb1.png?v=1596469315
Gorilla Grow,2x4-gorilla-grow-tent,Gorilla Grow - GORILLA GROW TENT - 2' x 4' - OG,Model Name,GGT24,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Interior_1_grande_bec40bc7-4c1c-43aa-9b09-8e0a7b13e22f.png?v=1596202144
,2x4-gorilla-grow-tent,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_OG_EX_grande_622ecc1a-1b1c-4f4f-8141-bd74bcd83420.png?v=1596202145
,2x4-gorilla-grow-tent,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_QuarterView_Open_1_grande_4251b8c9-81f5-4109-8f97-b68190d28dfc.png?v=1596202145
,2x4-gorilla-grow-tent,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_Rear_No_Extension_1_grande_2f4d6461-d32e-4129-a0df-893427f75ac5.png?v=1596202145
,2x4-gorilla-grow-tent,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Joint_1_grande_49d8f61a-3858-42a5-8c59-b64c3b11e29a.jpg?v=1596202145
,2x4-gorilla-grow-tent,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Ports_grande_006707f7-5d9e-4c94-b6bb-0f9cfeba1dd6.jpg?v=1596202145
,2x4-gorilla-grow-tent,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Rear_Access_Door_grande_2878814c-6bbc-4266-87b5-744b305dfbc8.jpg?v=1596202146
,2x4-gorilla-grow-tent,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Tool_Pouch_grande_0e092373-287a-45b4-afe5-7aa34dbd7108.jpg?v=1596202146
,2x4-gorilla-grow-tent,,,,9,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Vent_Detail_grande_3847176c-6af7-404e-8720-04adfdca815a.png?v=1596202146
,2x4-gorilla-grow-tent,,,,10,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/2x4_HOLES_grande_e70f5fe6-9f49-43c5-bad6-81cfef2c398f.png?v=1596202146
Gorilla Grow,2x4-lite-ext-kit,Gorilla Grow - GORILLA GROW TENT - 2'x4' LITE EXTENSION KIT,Model Name,1' Extension Lite Line,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/EXTENSION_KIT_1FT_grande_4948f85b-2008-4d56-b8e6-8a15f84f41c1.png?v=1597323547
Gorilla Grow,2x4ext,Gorilla Grow - GORILLA GROW TENT - 2x4 OG EXTENSION KIT,Model Name,2' Extension,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/EXTENSION_KIT_2FT_grande_9fd73954-f844-4057-92bd-043d1a194678.png?v=1596452471
EZ-Clone,360-sprayer-red,EZ-Clone - 360 Sprayer Red,Title,Default Title,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/360-sprayer-red_1.jpg?v=1597396632
,360-sprayer-red,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/360-sprayer-red.jpg?v=1597396632
Gorilla Grow,3x3-ggt-shorty,Gorilla Grow - GORILLA GROW TENT - 3' x 3' - SHORTY,Model Name,SHGGT33,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/GGT_SHORTY_3x3_ANGLE_CLOSED_grande_9546c36b-df41-430b-bde6-f261276164ee.png?v=1596470689
,3x3-ggt-shorty,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/GGT_SHORTY_3x3_ANGLE_OPEN_grande_b5cb3cf3-78b8-482c-8085-1443c4e57bc5.png?v=1596470689
,3x3-ggt-shorty,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/GGT_SHORTY_3x3_FRONT_CLOSED_grande_96461dbc-ad02-451a-835c-3f3c3198e496.png?v=1596470690
